volid,filename,title,enumcron
uc1.32106019610499,brd,Book Review Digest,(1935)
mdp.39015078320382,brd,Book Review Digest,(2007)
mdp.39015078261560,brd,Book Review Digest,(v.64 1968)
mdp.39015078261131,brd,Book Review Digest,(v.22 1926)
pst.000052260612,brd,Book Review Digest,
mdp.39015078261859,brd,Book Review Digest,(v.89 1993)
inu.30000114364296,brd,Book Review Digest,
inu.30000114363884,brd,Book Review Digest,
mdp.39015078260992,brd,Book Review Digest,(v.8 1912)
mdp.39015078261677,brd,Book Review Digest,(1905-1974 index v.4)
inu.30000114363892,brd,Book Review Digest,
mdp.39015078261826,brd,Book Review Digest,(v.84 1988)
uc1.32106019610549,brd,Book Review Digest,(1942)
uc1.32106019610556,brd,Book Review Digest,(1943)
mdp.39015078261032,brd,Book Review Digest,(v.12 1916)
uc1.32106019610515,brd,Book Review Digest,(1938)
nyp.33433082016514,brd,Book Review Digest,
mdp.39015078261644,brd,Book Review Digest,(1905-1974 index v.1)
mdp.39015078261800,brd,Book Review Digest,(v.82 1986)
mdp.39015078261669,brd,Book Review Digest,(1905-1974 index v.3)
inu.30000114364312,brd,Book Review Digest,
pst.000052260827,brd,Book Review Digest,
mdp.39015078261925,brd,Book Review Digest,(v.96 2000)
inu.30000114363868,brd,Book Review Digest,
mdp.39015078261784,brd,Book Review Digest,(1975-1984 index)
mdp.39015078261438,brd,Book Review Digest,(v.52 1956)
mdp.39015021469237,brd,Book Review Digest,(1989)
mdp.39015078260984,brd,Book Review Digest,(v.7 1911)
uc1.32106020065154,brd,Book Review Digest,
uc1.32106019850277,brd,Book Review Digest,(1912)
mdp.39015078261818,brd,Book Review Digest,(v.83 1987)
