author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Connor Ralph	B1389	{3201348}	"{""Publishers' cloth bindings (Binding)"", 'New York', 'New York (State)'}"	{'mdp.39015059407935'}	{'World War, 1914-1918'}	The sky pilot in no mans land	
Maugham W Somerset William Somerset	B5246	{3236688}		{'mdp.39015005073476'}	{'World War, 1914-1918'}	Ashenden or The British agent	
Weyman Stanley John	B8806	{3177179}		{'uc2.ark+=13960=t6057gk9k'}	"{""Thirty Years' War, 1618-1648""}"	My lady Rotha 	
Stimson Frederic Jessup	B7752	{6658562}		{'uc2.ark+=13960=t9j38mf0k'}	"{""Bacon's Rebellion, 1676"", ""King Philip's War, 1675-1676""}"	King Noanett	
Warburton Eliot	B8720	{5002761}		{'uc1.b3548184'}	{'Civil War, 1642-1649', 'History'}	Reginald Hastings  or A tale of the troubles in 164	
Orczy Emmuska Orczy Baroness	B6299	{3176017, 8916058}	{'Juvenile audience'}	{'nyp.33433075744890'}	{'Revolution, 1789-1799', 'France', 'Nobility', 'Blakeney, Percy, Sir (Fictitious character)', 'Refugees', 'English fiction', 'History', 'British'}	The Scarlet Pimpernel	
Hodson James Lansdale	B3779	{2484868}		{'uc1.$b300889'}	{'World War, 1914-1918'}	Grey dawnred night	
Buchan John	B642	{3185572}	{'Spy stories'}	{'nyp.33433074930961'}	{'Hannay, Richard (Fictitious character)', 'World War, 1914-1918'}	Mr Standfast	
Buchan John	B413	{3202263}		{'mdp.39015062083855'}	{'World War, 1914-1918'}	Greenmantle	
Bradley Mary Hastings	B553	{3203334}		{'nyp.33433074797584'}	{'World War, 1914-1918'}	The wine of astonishment	
Chambers Robert W Robert William	B1788	{3175249, 6812955, 8899764}		{'uc2.ark+=13960=t81j9993f'}	{'Franco-Prussian War, 1870-1871'}	Maids of paradise	
De Loghe Sydney	B2112	{3209324}		{'mdp.39015030668597'}	{'Personal narratives, English', 'World War, 1914-1918'}	The straits impregnable	
Chambers Robert W Robert William	B1485	{8958241}		{'nyp.33433074809397'}	{'World War, 1914-1918'}	Who goes there	
Stevenson Rennie	B7448	{6833495}		{'nyp.33433043830078'}	{'South African War, 1899-1902', 'Personal narratives'}	Through Rhodesia with the sharpshooters	
Cooper James Fenimore	B1332	{5161175}	{'Historical fiction', 'War stories', 'Bibliographies', 'Spy stories', 'Domestic fiction'}	{'hvd.32044080902265', 'hvd.32044097914220'}	{'Revolution, 1775-1783', 'History'}	The spy  a tale of the neutral ground	
Chambers Robert W Robert William	B1719	{9052837}		{'uc2.ark+=13960=t2c826s8x'}	{'United States', 'History', 'Civil War, 1861-1865'}	Special messenger	
Trowbridge J T John Townsend	B8064	{9431027, 8780910}	{'Historical fiction', 'Juvenile audience', 'Bibliographies', 'War stories'}	{'nc01.ark+=13960=t0ns17x5d'}	{'Abolitionists', 'Quakers', 'Unionists (United States Civil War)', 'Fugitive slaves', 'Civil War, 1861-1865', 'History'}	Cudjos cave	
Lowndes Marie Belloc	B4832	{3191097}		{'nyp.33433074878764'}	{'World War, 1914-1918'}	Good old Anna	
Crane Stephen	B1690	{6786994}		{'uc1.b4374292'}	{'History', 'Civil War, 1861-1865'}	The Little regiment and other episodes of the American civil war	
Nadaud Marcel	B6160	{3208343}		{'uc2.ark+=13960=t5x63df30'}	{'World War, 1914-1918'}	The flying poilu	
Austin F Britten Frederick Britten	B188	{3210007}		{'uc2.ark+=13960=t9n29t025'}	{'World War, 1914-1918'}	Battlewrack	
