author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Lover Samuel	B5049	{8888517}		{'wu.89090379819'}	{'Croker, Thomas Crofton', 'Ireland', 'Folklore', 'Short stories, Irish', 'Legends', '1798-1854', 'Folk-lore, Irish'}	Legends and stories of Ireland  Second series		1837
Webster Wentworth	B8881	{8717710}		{'mdp.39015002151234'}		Basque legends collected chief		1879
Webster Wentworth	B8480	{8717710}		{'mdp.39015002151234'}		Basque legends collected chiefly in the Labourd		1879
Webster Wentworth	B8690	{6671522}		{'uc1.$b49961'}	{'Basques', 'France', 'Pays Basque (France)', 'Basque language', 'Tales', 'Pays Basque', 'Legends', 'Social life and customs', 'Folklore'}	Basque legends		1877
Ker Annie	B4483	{6698225, 3183383}		{'inu.39000005764647'}	{'New Guinea', 'Folklore'}	Papuan fairy tales		1910
Strowska Suzanne	B7372	{3230818}		{'mdp.39015039686574'}	{'Poland', 'Tales'}	Ten Polish folk tales		1929
Sylva Carmen	B7354	{3176749}		{'mdp.39015029560045'}	{'Romania', 'Mountains', 'Rivers', 'Folklore'}	Legends from river  mountain		1896
Wilson Richard	B8481	{3193361}		{'mdp.39015002199639'}	{'Mythology, Slavic', 'Juvenile literature'}	The Russian story book containing tales from the songcycles of Kiev and Novgorod and other early sources		1916
Mason Eugene	B5369	{8965413}		{'njp.32101072852633'}	{'Translations into English', 'French literature', 'To 1500'}	Oldworld love stories From the lays of Marie de France  other mediaeval romances  legends		1913
McLaughlin Marie L	B5379	{3242814}		{'nyp.33433022847994'}	{'Mdewakanton Indians', 'Dakota Indians', 'Legends'}	Myths and legends of the Sioux		1916
Andersen H C Hans Christian	B248	{8467653, 4973077}		{'inu.30000007413424'}		Danish fairy tales and legends		1875
